,rname,Wsp_44m,Wdir_41m,ROT,yaw,pa,po,wsn,MyTB_mean,MyTB_stdev,MyTB_min,MyTB_max,MyTB_DEL3,MyTB_DEL6,MyTB_DEL9,MyTB_DEL12,MxTB_mean,MxTB_stdev,MxTB_min,MxTB_max,MxTB_DEL3,MxTB_DEL6,MxTB_DEL9,MxTB_DEL12,MzTT_mean,MzTT_stdev,MzTT_min,MzTT_max,MzTT_DEL3,MzTT_DEL6,MzTT_DEL9,MzTT_DEL12,Myaw_mean,Myaw_stdev,Myaw_min,Myaw_max,Myaw_DEL3,Myaw_DEL6,Myaw_DEL9,Myaw_DEL12,Mtilt_mean,Mtilt_stdev,Mtilt_min,Mtilt_max,Mtilt_DEL3,Mtilt_DEL6,Mtilt_DEL9,Mtilt_DEL12,MzR_mean,MzR_stdev,MzR_min,MzR_max,MzR_DEL3,MzR_DEL6,MzR_DEL9,MzR_DEL12,MyR_mean,MyR_stdev,MyR_min,MyR_max,MyR_DEL3,MyR_DEL6,MyR_DEL9,MyR_DEL12,MxR_mean,MxR_stdev,MxR_min,MxR_max,MxR_DEL3,MxR_DEL6,MxR_DEL9,MxR_DEL12,MyA1_mean,MyA1_stdev,MyA1_min,MyA1_max,MyA1_DEL3,MyA1_DEL6,MyA1_DEL9,MyA1_DEL12,MxA1_mean,MxA1_stdev,MxA1_min,MxA1_max,MxA1_DEL3,MxA1_DEL6,MxA1_DEL9,MxA1_DEL12,datetime,ws_bin
0,201701012040,6.360,282.660,20.550,278.610,-1.770,175.500,6.810,-887.597,209.663,-1863.160,1003.830,437.215,1033.880,1415.370,1667.680,1002.850,194.115,-666.370,1705.530,373.775,863.087,1183.930,1394.940,36.164,12.132,-23.622,82.260,31.413,42.730,54.500,63.395,7.555,27.533,-81.469,138.497,60.293,85.999,110.244,128.605,-103.574,25.936,-178.265,9.215,60.799,82.281,100.275,113.920,102.539,15.905,7.341,159.369,23.302,53.122,74.096,88.038,-8.731,76.975,-172.021,159.529,185.069,214.514,229.170,239.613,7.147,78.092,-157.117,178.850,187.430,216.902,231.289,241.248,-39.571,101.281,-205.148,156.745,228.309,258.103,269.619,276.271,-211.509,47.383,-360.007,37.029,74.659,142.752,195.733,231.585,2017-01-01 20:40:00,"[6, 7)"
1,201701012050,6.680,283.250,20.300,278.610,-1.790,169.600,6.710,-855.687,137.832,-1319.040,-260.773,202.947,390.427,525.541,618.521,971.757,125.203,400.440,1435.890,204.619,370.709,502.280,595.623,39.001,9.779,-6.659,69.982,26.949,34.533,41.895,47.666,2.541,23.058,-75.274,95.821,52.986,72.463,89.550,102.461,-110.060,20.437,-176.338,0.586,48.361,66.490,84.675,99.678,101.145,13.739,25.671,145.883,19.594,41.836,58.013,69.100,-8.659,79.848,-163.407,144.953,187.251,215.327,227.984,236.187,6.526,80.737,-142.508,170.836,187.275,214.963,227.255,235.170,-38.741,101.547,-203.742,129.764,226.248,255.791,266.767,272.674,-205.411,32.055,-331.265,-118.046,53.184,86.382,111.966,129.650,2017-01-01 20:50:00,"[6, 7)"
2,201701012100,6.240,278.100,18.600,278.610,-1.670,133.070,6.110,-690.603,131.014,-1119.250,-336.481,194.674,331.847,425.306,487.238,811.888,116.841,454.926,1157.980,186.617,296.516,376.404,431.343,40.931,8.357,5.814,78.417,25.128,32.319,39.060,44.326,-1.883,18.957,-72.096,75.421,49.617,66.871,81.003,91.759,-107.600,19.512,-190.580,-41.247,43.823,61.220,76.545,88.189,88.918,13.381,19.791,133.020,19.196,39.910,54.942,65.260,-8.357,77.829,-176.369,164.032,177.715,209.338,225.452,237.439,3.962,78.428,-143.540,187.346,176.668,207.221,222.133,232.848,-32.624,102.112,-195.114,129.919,221.820,254.406,266.548,273.040,-165.332,30.636,-274.459,-79.214,49.571,80.428,103.191,118.637,2017-01-01 21:00:00,"[6, 7)"
3,201701012120,6.070,280.700,18.880,278.610,-1.730,133.550,6.220,-708.469,159.140,-1217.870,-311.616,192.998,345.871,458.883,535.563,826.988,141.757,473.604,1288.320,196.026,325.840,423.440,489.523,39.018,8.599,5.307,68.425,25.229,31.053,36.000,39.830,3.320,20.107,-63.511,78.196,49.756,64.684,75.950,84.731,-107.889,19.972,-178.869,-24.964,48.687,64.762,78.442,89.473,88.053,11.330,13.924,121.459,19.292,38.782,52.729,62.290,-8.177,78.104,-168.252,156.349,179.956,210.006,223.838,233.125,4.299,78.956,-150.861,173.408,180.694,210.870,224.803,234.133,-32.855,101.500,-202.756,127.753,222.788,254.997,267.087,273.637,-169.816,38.803,-303.106,-82.394,49.318,84.213,112.190,130.894,2017-01-01 21:20:00,"[6, 7)"
4,201701012130,5.900,283.280,19.250,278.610,-1.740,121.600,6.410,-684.019,118.931,-1114.030,-296.170,189.429,328.307,425.928,491.633,797.103,101.218,384.754,1199.570,187.478,320.057,417.542,483.667,40.351,9.193,-9.228,75.433,25.519,34.075,42.865,49.803,2.182,21.151,-78.265,112.809,50.404,71.890,92.267,108.328,-111.420,20.909,-178.009,-10.867,48.042,66.363,83.644,97.512,81.421,16.828,8.326,131.951,22.256,45.283,61.163,71.970,-7.970,80.715,-174.577,151.601,185.385,215.868,230.039,239.658,5.239,81.536,-146.337,170.074,184.448,214.335,228.054,237.298,-30.343,101.697,-193.180,132.031,223.182,254.587,266.315,272.631,-167.399,30.228,-295.519,-84.060,50.882,84.600,110.266,127.860,2017-01-01 21:30:00,"[5, 6)"
5,201701012150,5.470,283.520,17.680,278.510,-1.590,89.900,5.740,-531.043,103.941,-908.424,283.448,188.424,414.019,578.905,688.689,648.959,93.117,-81.269,959.957,182.805,373.364,517.573,612.582,39.685,6.732,7.955,65.206,20.052,25.538,30.542,34.546,3.988,15.104,-49.683,74.002,39.832,53.566,65.208,74.396,-109.031,15.838,-163.436,-39.125,37.418,52.014,65.398,75.536,68.408,12.550,-21.626,98.582,20.210,43.313,59.773,70.683,-7.775,78.046,-146.538,150.473,173.124,202.580,215.132,222.895,2.804,78.758,-145.977,145.631,173.244,202.632,215.060,222.680,-24.339,101.324,-184.736,150.425,216.352,250.240,262.918,269.711,-130.260,25.050,-231.914,-15.703,42.458,77.964,105.613,124.805,2017-01-01 21:50:00,"[5, 6)"
6,201701020050,5.940,287.260,18.750,290.190,-1.760,144.470,6.180,-539.877,85.209,-791.498,-253.002,149.274,221.775,283.054,326.442,1030.730,134.632,655.947,1432.890,177.063,289.904,383.888,451.192,45.745,7.749,17.210,77.159,22.902,28.445,33.641,37.720,4.322,18.712,-66.513,72.735,47.294,62.517,75.339,85.227,-99.389,17.037,-157.339,-27.735,40.081,53.245,64.951,74.665,95.961,12.242,50.107,127.801,13.879,27.209,37.528,44.680,-9.686,71.738,-163.669,139.932,163.967,191.479,204.616,214.039,3.820,72.629,-146.298,147.361,164.197,191.394,204.097,212.961,-35.448,101.143,-200.579,125.747,221.034,253.255,265.282,271.727,-178.179,28.577,-280.998,-94.778,45.978,70.186,91.560,107.628,2017-01-02 00:50:00,"[5, 6)"
7,201701020120,6.360,285.190,19.160,292.660,-1.790,146.850,6.330,-516.379,92.479,-875.375,-279.089,144.797,233.271,305.818,356.785,1081.610,130.906,759.760,1622.560,207.099,330.026,429.042,501.709,46.451,7.801,18.208,75.121,23.022,27.797,31.953,35.278,2.858,19.156,-70.387,74.713,48.324,63.210,75.711,85.623,-105.896,18.284,-172.815,-37.950,46.355,62.372,75.163,84.704,95.535,13.079,15.353,127.150,18.150,38.711,53.805,64.163,-9.700,76.356,-154.458,143.036,176.609,204.770,217.443,225.750,4.502,77.218,-148.141,163.414,177.119,205.344,218.106,226.592,-35.578,101.364,-194.894,126.786,222.679,254.137,265.837,272.089,-185.863,30.037,-303.306,-91.986,48.044,78.979,104.932,123.202,2017-01-02 01:20:00,"[6, 7)"
8,201701020130,6.280,297.260,18.850,297.580,-1.790,148.880,6.260,-412.116,76.299,-682.138,-123.802,135.452,215.542,280.798,327.071,1131.840,146.048,643.461,1569.310,194.960,344.904,458.911,538.760,43.704,8.028,18.611,69.916,22.733,27.063,30.796,33.691,3.942,20.128,-70.873,65.327,48.233,61.619,72.890,82.002,-109.174,17.518,-177.172,-42.275,43.463,58.651,71.210,80.822,97.537,12.654,39.259,134.164,16.733,34.730,46.943,55.187,-10.035,78.668,-168.774,138.225,179.711,208.853,221.875,230.350,3.659,79.645,-141.987,170.209,180.020,208.778,221.492,229.781,-36.301,101.109,-199.517,123.475,220.915,252.773,264.601,270.896,-183.819,28.602,-290.123,-98.325,44.194,70.188,93.335,110.401,2017-01-02 01:30:00,"[6, 7)"
18,201701021230,9.450,304.100,24.730,314.730,-1.880,434.410,8.410,-103.547,98.072,-521.426,239.663,285.469,362.712,425.087,474.511,2607.580,395.359,1480.470,3479.950,393.403,724.680,967.899,1146.560,60.547,17.574,-23.622,118.756,46.853,60.078,74.974,86.635,-6.263,47.073,-160.975,220.931,100.874,146.593,191.025,223.830,-98.929,42.280,-251.905,61.231,96.515,128.984,159.800,183.644,190.671,35.842,80.879,279.401,34.426,69.614,95.320,113.636,-12.906,81.334,-233.872,209.552,217.893,256.625,281.645,301.049,12.441,82.561,-207.263,245.760,220.587,258.785,283.231,302.385,-73.549,104.534,-274.565,128.963,262.159,288.937,300.461,308.054,-377.017,61.296,-555.185,-203.150,104.538,145.332,180.600,207.742,2017-01-02 12:30:00,"[9, 10)"
19,201701021240,9.110,299.310,24.580,311.510,-1.810,407.620,8.460,-235.662,167.578,-997.313,126.925,259.784,430.196,573.715,671.267,2477.270,374.567,464.729,3906.030,582.033,1259.690,1711.310,2012.640,57.579,15.639,7.631,120.469,44.265,53.672,63.186,70.687,3.352,40.895,-164.941,127.808,93.220,125.099,153.485,175.341,-101.985,39.343,-235.162,41.162,96.065,126.049,153.244,173.880,181.432,34.559,45.660,303.457,38.182,87.530,123.043,147.394,-12.428,80.546,-246.006,207.366,215.247,251.218,275.302,296.007,12.493,82.160,-220.859,211.902,218.684,254.712,277.460,295.477,-69.842,103.020,-278.292,149.796,257.159,284.242,296.444,305.095,-363.455,58.561,-527.138,-111.769,101.837,163.418,212.060,246.187,2017-01-02 12:40:00,"[9, 10)"
20,201701021300,8.110,310.340,23.120,310.270,-1.780,280.540,7.610,-216.477,123.717,-601.528,166.110,213.302,291.799,373.021,440.198,1988.100,331.529,1035.390,2979.460,371.686,705.516,947.310,1119.550,60.685,13.194,14.472,109.463,39.820,47.575,54.791,60.558,-4.686,33.707,-128.684,105.799,83.094,107.757,127.327,142.330,-113.604,38.472,-244.940,24.183,87.513,115.672,140.971,160.340,137.213,25.060,77.646,214.542,27.243,51.849,68.116,79.549,-10.832,86.820,-215.418,221.131,222.654,259.215,280.577,296.887,10.499,87.745,-188.380,238.344,224.178,260.669,282.079,298.654,-52.982,103.345,-241.379,124.009,244.452,271.279,281.831,288.096,-293.604,53.362,-460.413,-136.325,85.554,126.895,162.845,189.456,2017-01-02 13:00:00,"[8, 9)"
21,201701021310,8.970,307.620,23.860,314.010,-1.840,399.140,7.990,-141.315,109.059,-578.722,152.408,307.971,394.659,454.382,496.464,2468.000,409.814,1442.490,3578.290,351.837,730.382,1021.550,1222.290,61.229,14.431,8.281,120.483,41.143,51.239,61.216,69.045,-6.704,37.135,-160.668,123.157,86.789,119.349,148.361,170.314,-94.762,37.656,-223.360,61.329,88.622,122.103,151.827,173.615,182.169,33.946,105.435,275.399,28.108,60.191,83.220,98.706,-12.415,75.097,-211.070,193.100,198.097,232.598,254.850,272.900,11.294,76.368,-170.143,209.940,198.982,232.297,252.638,268.132,-69.648,104.245,-270.685,113.429,251.891,278.619,289.517,296.260,-352.382,64.550,-511.401,-183.734,89.048,126.655,161.507,189.214,2017-01-02 13:10:00,"[8, 9)"
22,201701021320,8.160,310.380,23.080,314.020,-1.760,321.750,7.620,-122.287,75.507,-420.469,106.879,200.792,254.910,299.561,334.343,2153.690,378.902,1416.790,3539.080,335.714,714.881,1008.290,1211.530,60.890,13.365,2.542,100.728,35.694,44.001,52.708,59.900,-9.072,34.953,-105.853,132.666,74.871,100.066,123.180,141.828,-107.773,32.252,-212.327,50.749,76.468,103.698,129.430,150.187,155.217,29.986,86.984,272.362,27.779,61.895,87.953,105.806,-11.524,81.991,-217.059,179.147,206.624,238.601,256.657,270.554,10.160,83.276,-184.308,203.414,208.602,240.972,259.400,273.446,-59.910,104.008,-276.791,118.888,245.377,272.533,283.408,290.135,-311.677,58.362,-560.108,-170.040,82.014,135.495,186.184,222.884,2017-01-02 13:20:00,"[8, 9)"
23,201701021330,8.390,311.010,23.650,311.470,-1.870,360.680,7.910,-243.353,188.917,-715.488,134.188,227.949,310.653,408.432,486.254,2277.090,281.431,1517.820,3006.710,282.917,539.437,727.363,859.064,54.191,12.904,8.695,103.012,32.559,42.604,52.062,59.067,5.278,31.558,-115.608,123.433,68.593,98.310,123.799,142.309,-106.264,30.719,-211.616,51.443,72.613,104.955,133.724,155.203,168.643,19.949,105.401,223.744,22.195,43.078,58.023,68.508,-11.831,79.513,-190.803,182.504,201.086,229.911,245.804,258.047,10.960,81.271,-184.598,193.952,203.322,231.828,247.477,259.740,-66.399,101.499,-239.545,121.973,242.697,268.386,278.540,284.616,-338.837,51.127,-478.142,-206.952,71.161,108.290,138.563,160.490,2017-01-02 13:30:00,"[8, 9)"
24,201701021340,8.370,309.830,23.980,307.440,-1.890,350.210,8.030,-394.215,97.398,-678.870,-84.108,211.433,269.801,322.964,365.380,2215.700,264.774,1235.170,2829.730,291.274,583.105,788.701,927.547,47.039,12.104,-8.216,86.089,33.665,41.414,49.677,56.619,7.342,30.475,-91.595,154.821,71.041,96.514,121.674,142.127,-107.567,28.673,-217.876,4.541,68.845,91.357,111.900,128.402,162.332,23.887,72.646,232.946,24.585,55.670,77.392,92.123,-11.863,79.804,-187.352,172.531,201.690,228.652,242.913,253.567,11.978,81.471,-164.976,181.044,203.192,229.822,243.697,253.818,-64.747,101.034,-242.797,114.200,243.025,268.023,277.845,283.667,-338.552,44.226,-449.439,-201.879,67.932,103.303,131.302,150.484,2017-01-02 13:40:00,"[8, 9)"
25,201701021350,7.300,308.220,21.960,307.440,-1.640,242.430,7.090,-270.474,102.417,-691.241,-36.340,179.055,255.538,322.840,377.551,1736.430,343.939,814.659,2884.420,309.724,700.261,988.743,1184.440,44.032,10.825,5.516,79.859,29.363,36.182,42.725,47.731,11.414,27.364,-74.275,110.242,62.324,83.582,101.629,115.033,-115.084,23.165,-214.600,-23.056,59.344,77.924,95.343,109.902,126.453,27.161,8.355,203.514,29.785,67.788,94.905,112.888,-10.462,84.131,-218.305,175.035,203.587,233.186,249.491,262.937,8.647,85.658,-185.196,195.010,205.554,234.957,250.552,262.867,-49.285,100.711,-242.518,128.103,231.764,259.172,269.816,276.099,-263.299,54.914,-452.503,-141.070,63.183,109.732,149.745,178.403,2017-01-02 13:50:00,"[7, 8)"
26,201701021400,7.750,306.350,21.940,307.440,-1.640,256.510,7.170,-276.491,93.131,-760.811,559.849,211.997,456.930,640.705,762.585,1809.660,271.814,-693.730,2840.140,484.263,1235.300,1732.780,2057.040,46.324,10.679,2.530,95.070,30.995,39.457,48.252,55.270,2.377,27.463,-107.616,112.558,66.201,90.709,112.504,129.164,-105.661,25.602,-204.408,11.517,66.817,89.863,109.909,125.755,134.024,19.742,-14.817,208.253,32.312,77.168,107.754,128.341,-10.566,77.965,-189.014,182.696,192.384,221.149,236.562,248.564,8.721,79.078,-172.375,194.236,193.507,222.215,237.663,249.790,-52.097,101.772,-239.533,148.473,234.850,262.785,273.831,280.626,-271.528,45.799,-403.662,29.713,75.914,157.949,219.114,259.036,2017-01-02 14:00:00,"[7, 8)"
27,201701021410,7.060,304.430,21.590,307.440,-1.380,212.210,6.700,-234.520,90.532,-519.490,-6.766,123.518,188.549,249.337,294.804,1599.090,312.294,1060.260,2214.070,204.106,399.900,552.122,659.822,43.853,8.179,14.691,75.952,22.426,27.631,32.942,37.409,3.193,20.335,-70.982,78.873,47.126,63.164,77.995,89.695,-118.219,21.686,-207.475,-19.003,49.594,70.083,89.791,105.786,115.110,24.958,71.124,169.479,15.588,33.069,46.723,56.148,-9.775,85.098,-186.080,185.350,201.043,230.590,246.547,259.383,8.102,86.049,-178.725,194.744,201.916,231.322,247.038,259.585,-43.757,101.915,-212.785,122.982,230.082,257.434,267.515,272.927,-241.626,51.357,-358.208,-133.949,47.309,79.101,107.648,128.390,2017-01-02 14:10:00,"[7, 8)"
28,201701021420,6.940,296.950,21.020,302.930,-1.320,192.470,6.450,-314.905,124.724,-672.320,-35.105,132.377,224.849,307.871,366.401,1455.050,197.042,977.912,2033.890,199.505,382.626,519.445,613.790,42.594,7.758,9.591,66.529,20.700,26.206,31.083,34.910,5.733,20.571,-63.085,95.665,43.251,60.937,77.235,90.168,-118.051,18.409,-181.901,-14.454,44.797,64.483,82.935,97.125,109.071,19.359,64.200,178.359,18.214,41.647,57.766,68.263,-9.453,84.787,-171.279,151.183,199.094,226.766,239.027,247.010,6.929,85.750,-152.241,188.788,198.021,225.620,237.992,246.286,-41.038,101.096,-211.378,121.256,226.530,254.666,265.123,270.791,-225.504,33.932,-340.923,-140.194,44.786,75.557,101.487,119.465,2017-01-02 14:20:00,"[6, 7)"
29,201701021430,6.570,293.370,21.090,294.600,-1.250,166.450,6.420,-453.089,117.596,-824.437,-195.720,132.859,231.868,308.997,363.637,1274.030,196.823,835.505,1802.430,195.625,366.932,486.120,567.688,44.747,7.511,19.091,69.294,21.227,25.440,29.133,32.169,8.592,17.797,-53.434,71.362,44.392,56.739,67.080,75.570,-118.274,19.479,-189.823,-46.173,46.809,62.525,76.232,87.006,96.369,15.692,59.241,144.616,15.560,30.808,41.600,49.153,-8.784,84.847,-176.919,151.617,199.184,227.329,240.108,248.560,7.640,85.756,-155.009,186.570,200.124,228.048,240.793,249.533,-36.336,100.849,-203.736,122.241,226.620,254.422,264.625,270.053,-212.489,36.111,-306.887,-126.445,42.818,69.378,90.780,105.748,2017-01-02 14:30:00,"[6, 7)"
30,201701021440,6.300,283.820,21.090,293.610,-1.020,154.290,6.230,-440.859,121.055,-871.792,-239.190,125.303,225.170,306.631,363.946,1197.820,201.936,849.642,1888.800,179.201,356.751,496.720,594.303,43.408,7.621,-2.168,67.853,20.947,27.778,35.433,41.480,7.545,18.815,-51.772,114.535,43.916,61.869,80.392,95.049,-115.613,19.550,-174.705,6.934,42.799,66.339,89.459,106.231,90.301,11.582,64.259,136.994,13.350,25.224,34.773,41.580,-8.625,83.118,-157.090,157.535,193.175,219.960,231.554,238.862,7.630,83.942,-141.154,168.202,193.219,219.850,231.328,238.566,-33.163,101.201,-201.991,122.222,226.913,254.767,264.943,270.304,-203.082,39.792,-370.175,-131.552,44.022,82.908,114.636,136.757,2017-01-02 14:40:00,"[6, 7)"
31,201701021500,6.200,285.650,18.590,286.900,-1.680,142.950,6.130,-508.794,146.212,-1041.210,-69.169,182.329,343.751,469.658,558.088,1031.880,177.510,407.458,1686.030,222.334,441.908,613.307,732.268,44.487,7.349,12.160,69.073,20.818,26.855,31.907,35.761,0.794,17.663,-63.769,74.590,43.045,60.057,73.712,83.945,-117.489,18.036,-174.728,-28.552,44.304,61.387,76.128,87.347,94.984,15.079,18.381,138.881,20.120,44.527,61.385,72.480,-9.367,84.177,-168.603,154.962,189.952,220.923,234.519,243.277,3.348,85.155,-154.461,165.998,190.662,221.084,234.077,242.244,-37.221,101.484,-200.763,129.029,220.161,252.579,264.724,271.277,-180.386,40.320,-327.968,-68.002,46.910,90.243,124.662,148.822,2017-01-02 15:00:00,"[6, 7)"
63,201701031430,11.410,263.440,26.140,258.820,-0.040,701.890,10.730,-2622.450,310.244,-3890.700,-252.082,702.042,1310.980,1785.530,2113.240,1283.060,236.823,570.193,2223.150,505.631,682.668,852.805,986.727,-25.884,23.522,-115.760,56.341,62.059,78.010,94.516,107.112,-11.565,57.187,-228.395,210.061,129.630,179.025,224.094,257.302,-93.667,57.495,-284.484,213.165,138.983,199.533,254.657,294.619,285.614,44.793,177.801,379.165,44.378,83.101,106.970,122.506,-15.333,85.935,-280.542,208.841,243.537,283.830,310.260,331.253,12.781,87.477,-267.330,281.645,248.005,293.025,325.503,352.429,-91.096,106.193,-320.492,145.732,283.356,312.944,328.077,339.468,-440.625,55.810,-682.501,-150.751,147.811,215.956,273.564,315.564,2017-01-03 14:30:00,"[11, 12)"
64,201701031440,12.210,262.170,26.110,261.840,0.810,785.670,11.190,-2624.620,341.631,-3957.910,-763.571,878.973,1315.960,1635.940,1879.300,1487.160,215.969,463.801,2220.160,600.849,773.553,919.117,1040.420,-23.421,25.034,-121.133,52.810,60.942,77.154,94.570,107.719,-17.217,63.185,-212.492,212.004,126.130,175.686,221.805,255.537,-81.599,52.220,-259.541,168.408,128.381,174.784,218.254,251.219,318.379,30.365,219.616,393.379,40.096,70.284,91.324,105.241,-15.055,80.864,-281.550,209.866,231.318,273.209,302.063,324.736,12.002,81.994,-221.148,255.829,233.135,274.573,301.848,322.614,-92.871,107.818,-341.284,142.462,295.735,328.162,345.487,358.492,-447.672,59.515,-648.908,-168.014,159.874,220.885,267.070,300.242,2017-01-03 14:40:00,"[12, 13)"
65,201701031450,12.260,261.990,26.150,261.820,2.000,811.270,11.420,-2534.890,353.974,-3533.680,-804.391,808.768,1210.980,1489.090,1688.670,1468.740,203.923,662.655,2090.030,550.341,711.621,839.305,933.794,-25.709,24.780,-123.638,85.284,67.227,86.233,106.806,123.199,-15.456,61.574,-262.426,226.205,138.898,192.606,242.470,281.227,-76.797,56.018,-286.271,147.218,136.555,183.636,226.910,259.392,327.915,24.578,238.718,382.613,37.184,60.392,76.751,87.740,-14.968,78.888,-305.906,262.266,232.979,288.489,333.608,369.127,13.114,79.932,-278.043,314.738,234.112,287.872,331.972,368.581,-86.048,108.037,-350.267,180.207,295.705,330.151,350.864,368.196,-432.527,64.925,-651.789,-154.243,163.566,224.974,272.831,308.376,2017-01-03 14:50:00,"[12, 13)"
66,201701031500,12.310,263.750,26.140,261.840,1.800,793.230,11.610,-2521.950,374.164,-3511.890,-1081.000,811.415,1167.350,1394.380,1551.560,1470.900,214.071,619.107,2304.880,594.855,775.974,918.225,1031.950,-25.904,24.983,-120.678,61.389,69.185,86.033,103.414,116.465,-13.666,59.314,-234.649,203.040,140.060,189.431,233.941,266.716,-68.308,59.205,-258.418,147.528,143.387,187.756,225.482,253.240,321.124,32.182,223.499,378.578,38.599,65.007,83.698,96.194,-14.380,75.066,-270.287,242.681,223.404,271.138,306.027,333.481,13.094,76.141,-238.763,251.789,224.539,269.098,299.497,322.907,-86.376,107.616,-322.955,140.208,288.810,319.216,335.108,347.152,-430.818,69.670,-624.130,-109.671,171.268,234.125,284.165,321.499,2017-01-03 15:00:00,"[12, 13)"
67,201701031510,12.010,265.370,26.130,265.210,2.820,826.030,11.560,-2368.700,425.257,-3778.070,-1030.980,921.263,1295.690,1550.700,1733.500,1603.180,279.143,688.763,2568.640,681.402,882.957,1048.000,1178.230,-15.556,27.175,-129.634,78.821,75.491,95.425,114.128,128.178,-23.659,64.619,-278.378,237.054,154.601,211.158,260.740,298.812,-71.146,67.386,-276.031,298.767,161.052,231.910,295.894,342.260,335.168,17.628,257.230,388.279,36.725,53.523,67.537,77.706,-13.960,83.593,-289.237,341.289,247.194,299.559,345.055,386.533,13.315,83.090,-250.147,291.070,244.721,289.958,321.452,347.435,-82.148,109.668,-349.691,159.409,291.490,323.228,340.913,355.497,-420.906,76.047,-675.762,-65.043,186.538,259.443,320.349,366.495,2017-01-03 15:10:00,"[12, 13)"
68,201701031520,11.350,263.130,26.040,263.390,-0.450,717.880,10.210,-2586.220,270.631,-3471.280,-899.211,660.595,1057.660,1340.460,1540.920,1529.230,268.848,790.306,2287.750,495.816,651.237,781.686,886.258,-17.335,23.576,-107.960,66.322,60.239,76.206,92.816,105.606,-14.655,55.296,-202.103,211.510,122.831,171.074,215.483,248.377,-78.186,55.220,-253.305,188.513,126.895,176.178,223.823,259.868,294.448,40.996,157.937,375.912,43.519,80.757,107.030,125.873,-14.935,77.015,-257.607,212.628,221.470,262.560,291.375,314.564,11.421,78.195,-229.764,264.303,223.696,266.505,295.875,319.304,-97.046,107.017,-331.001,131.532,295.161,326.279,341.783,352.703,-452.126,51.334,-636.863,-172.166,143.760,195.317,241.199,277.305,2017-01-03 15:20:00,"[11, 12)"
69,201701031530,11.660,260.040,26.090,260.830,0.050,755.330,10.420,-2684.480,306.268,-3708.610,-1264.830,829.109,1219.690,1452.070,1607.940,1444.150,189.976,791.750,2078.370,519.754,657.813,758.510,835.207,-28.938,23.107,-136.136,46.723,61.508,78.898,97.057,111.181,-5.037,56.795,-175.196,258.696,125.296,174.024,219.181,254.478,-60.641,51.839,-228.794,159.142,123.235,162.854,202.383,232.426,308.460,36.998,199.835,377.684,38.494,70.670,93.364,108.311,-15.097,67.313,-234.004,221.185,198.916,239.284,269.753,294.981,11.427,68.502,-200.940,246.395,202.029,240.803,268.086,289.557,-96.908,106.011,-321.359,126.910,287.268,316.551,330.747,340.775,-452.436,56.030,-639.816,-215.716,155.365,204.563,241.276,268.545,2017-01-03 15:30:00,"[11, 12)"
70,201701031540,11.380,261.530,26.020,260.840,-0.180,760.950,10.350,-2717.490,282.258,-3714.650,-1342.160,747.075,1126.560,1359.370,1516.000,1449.740,187.193,651.304,2032.550,503.402,643.885,763.882,858.689,-26.282,24.363,-114.760,69.709,62.250,76.455,93.346,107.643,-10.588,57.503,-212.342,213.690,125.306,168.263,210.356,243.934,-72.956,54.916,-264.505,160.516,130.820,175.128,216.953,249.571,311.149,30.762,194.113,370.470,37.888,65.829,86.762,101.845,-14.829,74.828,-257.349,221.824,218.086,261.407,290.857,313.603,10.866,76.092,-200.915,300.056,219.287,261.886,292.224,317.137,-100.110,106.140,-322.166,127.759,289.148,319.563,334.652,345.236,-458.814,53.060,-614.516,-248.010,147.669,189.659,220.337,242.398,2017-01-03 15:40:00,"[11, 12)"
71,201701031550,12.090,264.010,26.140,260.840,1.450,782.190,11.630,-2563.470,336.803,-3704.930,-1057.370,781.607,1178.610,1440.470,1623.960,1431.950,188.211,819.303,2116.970,493.692,637.233,744.294,824.845,-31.002,23.893,-125.519,55.912,67.523,82.434,98.469,111.031,0.144,61.217,-239.365,227.847,136.659,185.614,232.391,268.509,-70.814,58.628,-255.947,193.368,145.116,194.036,237.167,269.774,318.318,37.853,196.026,381.191,37.491,67.245,90.724,107.148,-13.537,76.048,-239.001,218.566,223.801,264.464,292.541,313.842,13.073,77.364,-215.292,261.708,225.439,266.465,296.006,319.432,-88.598,105.370,-314.499,168.208,284.946,316.032,332.869,345.880,-434.411,63.447,-676.762,-169.479,167.080,233.466,282.430,317.532,2017-01-03 15:50:00,"[12, 13)"
72,201701031600,12.740,266.380,26.140,263.280,2.330,818.970,11.850,-2457.350,367.465,-3576.440,-700.138,826.318,1250.010,1550.470,1767.820,1531.800,225.168,718.896,2232.540,514.480,677.126,814.596,923.030,-22.516,24.626,-127.791,73.590,68.124,83.564,102.041,117.829,-15.438,58.548,-242.736,210.039,138.100,184.360,228.712,264.083,-82.152,58.605,-274.934,236.578,145.312,200.517,252.676,293.061,332.669,21.529,249.215,377.430,36.199,54.607,68.696,78.437,-13.833,81.138,-259.600,228.140,235.287,276.219,303.970,325.797,13.044,82.660,-245.806,260.363,238.788,283.090,313.864,337.803,-86.244,107.969,-332.970,147.115,291.582,322.325,338.195,350.077,-428.791,67.304,-638.129,-65.748,168.023,236.579,294.715,339.269,2017-01-03 16:00:00,"[12, 13)"
